cpu,mark,rank
Intel Xeon Gold 6262V @ 1.90GHz,50835,244
Intel Xeon w7-3445,48991,245
Intel Xeon Gold 5318H @ 2.50GHz,50218,245
AMD EPYC 72F3,50017,246
AMD EPYC 9224,48967,246
Intel Xeon Gold 6253CL @ 3.10GHz,49872,247
AMD EPYC 7R12,48934,247
Intel Xeon Gold 6534,49848,248
Intel Xeon Gold 6314U @ 2.30GHz,48916,248
Intel Core Ultra 7 265HX,48881,249
Intel Xeon Silver 4514Y,49747,249
Intel Xeon Platinum 8170M @ 2.10GHz,49539,250
AMD EPYC Embedded 8224P,48869,250
AMD Ryzen Threadripper PRO 5955WX,48864,251
Intel Xeon Gold 6252N @ 2.30GHz,49269,251
Intel Xeon E7-4890 v2 @ 2.80GHz,49018,252
Intel Core i9-13900F,48638,252
AMD Ryzen 9 PRO 9945,48520,253
Intel Xeon E7-8890 v4 @ 2.20GHz,48942,253
Intel Xeon E7-8891 v4 @ 2.80GHz,48879,254
AMD EPYC 9115,48504,254
AMD EPYC 7453,48453,255
Intel Xeon Platinum 8252C @ 3.80GHz,48558,255
Intel Xeon Platinum 8124M @ 3.00GHz,48421,256
Intel Xeon W-3345 @ 3.00GHz,48140,256
AMD Ryzen 9 7900,48116,257
Intel Xeon Gold 6154 @ 3.00GHz,48366,257
Intel Xeon Platinum 8160 @ 2.10GHz,48267,258
AMD EPYC 9184X,48058,258
Intel Xeon Platinum 8170 @ 2.10GHz,48217,259
Intel Xeon w5-2555X,47638,259
AMD EPYC 4464P,47383,260
Intel Xeon Gold 6240 @ 2.60GHz,47835,260
ARM Ampere-1a 192 Core 2600 MHz,47202,261
Intel Xeon Platinum 8180M @ 2.50GHz,47049,261
Intel Xeon 6517P,47196,262
Intel Xeon Gold 5117 @ 2.00GHz,46875,262
Intel Xeon Gold 6444Y,47176,263
Intel Xeon Gold 6143 @ 2.80GHz,46473,263
Intel Xeon Gold 6150 @ 2.70GHz,46465,264
Intel Xeon Gold 6342 @ 2.80GHz,47076,264
AMD Ryzen 9 PRO 7945,46904,265
Intel Xeon Gold 6434,46362,265
Intel Core i9-14900F,46761,266
Intel Xeon Gold 6148 @ 2.40GHz,46224,266
Intel Xeon Gold 6152 @ 2.10GHz,46133,267
Intel Xeon Platinum 8368Q @ 2.60GHz,46681,267
Intel Xeon E7-8867 v3 @ 2.50GHz,46001,268
Intel Xeon W-3175X @ 3.10GHz,46125,268
AMD EPYC 73F3,46103,269
Intel Xeon Gold 6256 @ 3.60GHz,46001,269
Intel Xeon Platinum 8173M @ 2.00GHz,45957,270
AMD EPYC 7402,46012,270
Intel Xeon Gold 6530,45989,271
Intel Xeon Silver 4410T,45342,271
Intel Xeon E7-4870 v2 @ 2.30GHz,45230,272
Intel Core i9-13980HX,45854,272
Intel Xeon E5-2699A v4 @ 2.40GHz,45072,273
AMD EPYC 7452,45764,273
Intel Core i7-13700K,45759,274
Intel Xeon Platinum 8175M @ 2.50GHz,44993,274
Intel Xeon Gold 6248 @ 2.50GHz,44959,275
Intel Core i7-13700KF,45690,275
Intel Xeon 6511P,45687,276
Intel Xeon Platinum 8163 @ 2.50GHz,44913,276
Intel Xeon Gold 5418Y,45660,277
Intel Xeon Gold 6246R @ 3.40GHz,44875,277
Intel Xeon Gold 5515+,44283,278
Intel Xeon Gold 6336Y @ 2.40GHz,45517,278
Intel Xeon w5-3525,45498,279
Intel Xeon Gold 6252 @ 2.10GHz,43949,279
AMD EPYC 8224P,45421,280
Intel Xeon Platinum P-8124 @ 3.00GHz,43913,280
Intel Xeon Gold 6240Y @ 2.60GHz,43836,281
AMD Ryzen 9 5950X,45332,281
Intel Xeon Gold 6230 @ 2.10GHz,43672,282
Intel Xeon w5-2465X,45259,282
Intel Xeon Silver 4314 @ 2.40GHz,43588,283
Intel Core i9-14900,45201,283
Intel Xeon Platinum 8151 @ 3.40GHz,43342,284
Intel Core i9-13900,45121,284
Intel Xeon Platinum 6162 @ 1.90GHz,43085,285
AMD EPYC 7542,45020,285
Intel Xeon E5-2699 v4 @ 2.20GHz,42975,286
Intel Xeon Gold 6538N,44895,286
AMD Ryzen 9 7845HX,44878,287
Intel Xeon Silver 4410Y,42164,287
Intel Xeon Gold 5220 @ 2.20GHz,42155,288
Intel Xeon w5-3435X,44626,288
Intel Core i9-14900HX,44452,289
Intel Xeon Gold 5415+,41794,289
Intel Xeon Gold 6246 @ 3.30GHz,41740,290
Apple M4 Max 16 Core,44043,290
AMD Ryzen 9 5900XT,44010,291
AMD EPYC 7272,41593,291
AMD EPYC 7402P,43855,292
Intel Xeon Gold 6262 @ 1.90GHz,41520,292
Intel Xeon Gold 6138 @ 2.00GHz,41371,293
Intel Xeon Silver 4416+,43659,293
AMD EPYC 9124,43646,294
Intel Xeon Gold 5317 @ 3.00GHz,41302,294
AMD EPYC 7343,43644,295
Intel Xeon E5-4669 v3 @ 2.10GHz,41232,295
Intel Core i9-12900KS,43527,296
Intel Xeon E5-4650 v4 @ 2.20GHz,41126,296
Intel Core Ultra 5 245K,43427,297
Intel Xeon Gold 6140 @ 2.30GHz,41125,297
Intel Xeon E7-4830 v3 @ 2.10GHz,41102,298
AMD Ryzen 7 8840HX,43315,298
Intel Core Ultra 5 245KF,43255,299
Intel Xeon Silver 4509Y,40931,299
ARM Neoverse-N1 128 Core 2800 MHz,43111,300
Intel Xeon Gold 5218R @ 2.10GHz,40782,300
Intel Xeon Gold 6526Y,43018,301
Intel Xeon Gold 6134 @ 3.20GHz,40698,301
AMD Ryzen AI Max Pro 390,43016,302
Intel Xeon E5-2696 v4 @ 2.20GHz,40566,302
Intel Xeon Gold 6139 @ 2.30GHz,40210,303
AMD Ryzen 7 7840HX,42758,303
Intel Core i9-13900T,42381,304
AMD EPYC 7F32,40000,304
Intel Xeon Gold 5220S @ 2.70GHz,39678,305
AMD EPYC 7D12,42285,305
Intel Xeon Gold 6226R @ 2.90GHz,39642,306
Intel Core i9-13900HX,42251,306
Intel Xeon Platinum 8167M @ 2.00GHz,39275,307
Intel Core i7-13790F,42202,307
Intel Xeon E5-4669 v4 @ 2.20GHz,38573,308
